恒电位电解I-t曲线
电流参考方向：阴极电流为正
实验日期：2019-09-06
实验时间：17:18:34
静置时间(S) = 3
恒定电位(V) = -1.
运行时间(S) = 360.
采样周期(S) = 0.05
电流量程(A) = 5.0E-03
曲线样点数 = 7202


样点数据表：

序号          时间(S)        电流(A)

908           45.400        6.186373E-4
909           45.450        6.142363E-4
910           45.500        6.152912E-4
911           45.550        6.206006E-4
912           45.600        6.195612E-4
913           45.650        6.188808E-4
914           45.700        6.167553E-4
915           45.750        6.140895E-4
916           45.800        6.083246E-4
917           45.850        6.100819E-4
918           45.900        6.148167E-4
919           45.950        6.114770E-4
920           46.000        6.232942E-4
921           46.050        6.172389E-4
922           46.100        6.110900E-4
923           46.150        6.089988E-4
924           46.200        6.082871E-4
925           46.250        6.044324E-4
926           46.300        5.963139E-4
927           46.350        5.939823E-4
928           46.400        6.009302E-4
929           46.450        5.953214E-4
930           46.500        5.916540E-4
931           46.550        5.993884E-4
932           46.600        5.957927E-4
933           46.650        5.967011E-4
934           46.700        5.899903E-4
935           46.750        5.858796E-4
936           46.800        5.904461E-4
937           46.850        5.904398E-4
938           46.900        5.856517E-4
939           46.950        5.855923E-4
940           47.000        5.808201E-4
941           47.050        5.767437E-4
942           47.100        5.759134E-4
943           47.150        5.746493E-4
944           47.200        5.771744E-4
945           47.250        5.768654E-4
